,Model,Target,Accuracy,Precision,Recall,F1-score,Data
0,Logistic Regression,nv,0.7075069043434598,0.8060977577028553,0.9382275628989861,0.8671583514099783,Train
1,Logistic Regression,mel,0.7075069043434598,0.27741935483870966,0.24157303370786518,0.25825825825825827,Train
2,Logistic Regression,bkl,0.7075069043434598,0.42948717948717946,0.46153846153846156,0.44493635860542335,Train
3,Logistic Regression,bcc,0.7075069043434598,0.20833333333333334,0.012165450121654502,0.022988505747126436,Train
4,Logistic Regression,akiec,0.7075069043434598,0.4444444444444444,0.015267175572519083,0.029520295202952025,Train
5,Logistic Regression,vasc,0.7075069043434598,1.0,0.0,0.0,Train
6,Logistic Regression,df,0.7075069043434598,0.5652173913043478,0.14130434782608695,0.2260869565217391,Train
7,Decision Tree,nv,0.759101180015064,0.8282238442822385,0.9586932031543373,0.888695500826734,Train
8,Decision Tree,mel,0.759101180015064,0.4413793103448276,0.3595505617977528,0.3962848297213622,Train
9,Decision Tree,bkl,0.759101180015064,0.5657894736842105,0.5430539609644087,0.5541886350322203,Train
10,Decision Tree,bcc,0.759101180015064,0.464,0.1411192214111922,0.2164179104477612,Train
11,Decision Tree,akiec,0.759101180015064,0.6785714285714286,0.07251908396946564,0.13103448275862067,Train
12,Decision Tree,vasc,0.759101180015064,0.7924528301886793,0.3684210526315789,0.5029940119760479,Train
13,Decision Tree,df,0.759101180015064,0.8529411764705882,0.31521739130434784,0.46031746031746035,Train
14,Random Forest,nv,0.7589756464976148,0.8372131418193826,0.9521216672925272,0.89097777387332,Train
15,Random Forest,mel,0.7589756464976148,0.4407252440725244,0.3550561797752809,0.39327940261356564,Train
16,Random Forest,bkl,0.7589756464976148,0.5545350172215844,0.5545350172215844,0.5545350172215844,Train
17,Random Forest,bcc,0.7589756464976148,0.4421768707482993,0.15815085158150852,0.23297491039426527,Train
18,Random Forest,akiec,0.7589756464976148,0.45454545454545453,0.13358778625954199,0.20648967551622419,Train
19,Random Forest,vasc,0.7589756464976148,0.7540983606557377,0.40350877192982454,0.5257142857142857,Train
20,Random Forest,df,0.7589756464976148,0.8333333333333334,0.32608695652173914,0.46875000000000006,Train
21,Gradient Boosting,nv,0.728219934722571,0.805657663416973,0.9464889222681186,0.8704135370802036,Train
22,Gradient Boosting,mel,0.728219934722571,0.3616298811544992,0.2393258426966292,0.2880324543610548,Train
23,Gradient Boosting,bkl,0.728219934722571,0.49454545454545457,0.46842709529276694,0.48113207547169806,Train
24,Gradient Boosting,bcc,0.728219934722571,0.38095238095238093,0.1362530413625304,0.20071684587813615,Train
25,Gradient Boosting,akiec,0.728219934722571,0.5853658536585366,0.0916030534351145,0.15841584158415842,Train
26,Gradient Boosting,vasc,0.728219934722571,0.5,0.22807017543859648,0.3132530120481927,Train
27,Gradient Boosting,df,0.728219934722571,0.6,0.358695652173913,0.4489795918367347,Train
28,AdaBoost,nv,0.6630680391664574,0.8122676579925651,0.9025535110777319,0.8550337958022055,Train
29,AdaBoost,mel,0.6630680391664574,0.3219178082191781,0.15842696629213482,0.21234939759036145,Train
30,AdaBoost,bkl,0.6630680391664574,0.29842931937172773,0.13088404133180254,0.1819632881085395,Train
31,AdaBoost,bcc,0.6630680391664574,0.23577235772357724,0.0705596107055961,0.10861423220973784,Train
32,AdaBoost,akiec,0.6630680391664574,0.18893129770992367,0.37786259541984735,0.25190839694656486,Train
33,AdaBoost,vasc,0.6630680391664574,0.15719063545150502,0.41228070175438597,0.22760290556900725,Train
34,AdaBoost,df,0.6630680391664574,0.1595744680851064,0.4891304347826087,0.24064171122994654,Train
35,Linear Discriminant Analysis,nv,0.6782575947778057,0.8537074148296593,0.8798347728126173,0.8665742024965325,Train
36,Linear Discriminant Analysis,mel,0.6782575947778057,0.29434546862896976,0.42696629213483145,0.34846400733608435,Train
37,Linear Discriminant Analysis,bkl,0.6782575947778057,0.8939393939393939,0.1354764638346728,0.23529411764705885,Train
38,Linear Discriminant Analysis,bcc,0.6782575947778057,0.21705426356589147,0.0681265206812652,0.10370370370370371,Train
39,Linear Discriminant Analysis,akiec,0.6782575947778057,0.21008403361344538,0.3816793893129771,0.2710027100271003,Train
40,Linear Discriminant Analysis,vasc,0.6782575947778057,0.1574074074074074,0.4473684210526316,0.23287671232876714,Train
41,Linear Discriminant Analysis,df,0.6782575947778057,0.32,0.43478260869565216,0.3686635944700461,Train
42,Support Vector Machine,nv,0.7142857142857143,0.7635475273911756,0.9682688696958318,0.8538079470198675,Train
43,Support Vector Machine,mel,0.7142857142857143,0.33540372670807456,0.12134831460674157,0.1782178217821782,Train
44,Support Vector Machine,bkl,0.7142857142857143,0.4823386114494519,0.45464982778415614,0.4680851063829787,Train
45,Support Vector Machine,bcc,0.7142857142857143,1.0,0.0,0.0,Train
46,Support Vector Machine,akiec,0.7142857142857143,1.0,0.0,0.0,Train
47,Support Vector Machine,vasc,0.7142857142857143,1.0,0.0,0.0,Train
48,Support Vector Machine,df,0.7142857142857143,0.42028985507246375,0.31521739130434784,0.360248447204969,Train
49,Ridge Classifier,nv,0.7091388400702988,0.7517011727233242,0.9748404055576417,0.8488514673424344,Train
50,Ridge Classifier,mel,0.7091388400702988,0.308411214953271,0.11123595505617978,0.16350123864574734,Train
51,Ridge Classifier,bkl,0.7091388400702988,0.48509485094850946,0.41102181400688864,0.4449968924798011,Train
52,Ridge Classifier,bcc,0.7091388400702988,1.0,0.0,0.0,Train
53,Ridge Classifier,akiec,0.7091388400702988,1.0,0.0,0.0,Train
54,Ridge Classifier,vasc,0.7091388400702988,1.0,0.0,0.0,Train
55,Ridge Classifier,df,0.7091388400702988,1.0,0.0,0.0,Train
0,Logistic Regression,nv,0.7075069043434598,0.8110539845758354,0.9474474474474475,0.8739612188365651,Test
1,Logistic Regression,mel,0.7075069043434598,0.281767955801105,0.22869955156950672,0.2524752475247525,Test
2,Logistic Regression,bkl,0.7075069043434598,0.40585774058577406,0.44495412844036697,0.424507658643326,Test
3,Logistic Regression,bcc,0.7075069043434598,0.625,0.04854368932038835,0.0900900900900901,Test
4,Logistic Regression,akiec,0.7075069043434598,0.6666666666666666,0.03076923076923077,0.05882352941176471,Test
5,Logistic Regression,vasc,0.7075069043434598,1.0,0.0,0.0,Test
6,Logistic Regression,df,0.7075069043434598,0.8,0.17391304347826086,0.2857142857142857,Test
7,Decision Tree,nv,0.759101180015064,0.8132568514977693,0.9579579579579579,0.8796966563254051,Test
8,Decision Tree,mel,0.759101180015064,0.35714285714285715,0.24663677130044842,0.2917771883289125,Test
9,Decision Tree,bkl,0.759101180015064,0.4881516587677725,0.4724770642201835,0.4801864801864802,Test
10,Decision Tree,bcc,0.759101180015064,0.3103448275862069,0.08737864077669903,0.13636363636363635,Test
11,Decision Tree,akiec,0.759101180015064,0.3333333333333333,0.06153846153846154,0.1038961038961039,Test
12,Decision Tree,vasc,0.759101180015064,0.5714285714285714,0.14285714285714285,0.2285714285714286,Test
13,Decision Tree,df,0.759101180015064,0.8,0.34782608695652173,0.48484848484848486,Test
14,Random Forest,nv,0.759101180015064,0.8202973497091144,0.9527027027027027,0.8815560958666203,Test
15,Random Forest,mel,0.759101180015064,0.36423841059602646,0.24663677130044842,0.29411764705882354,Test
16,Random Forest,bkl,0.759101180015064,0.4898989898989899,0.44495412844036697,0.46634615384615385,Test
17,Random Forest,bcc,0.759101180015064,0.2553191489361702,0.11650485436893204,0.16,Test
18,Random Forest,akiec,0.759101180015064,0.2222222222222222,0.09230769230769231,0.13043478260869565,Test
19,Random Forest,vasc,0.759101180015064,0.5555555555555556,0.17857142857142858,0.2702702702702703,Test
20,Random Forest,df,0.759101180015064,0.7692307692307693,0.43478260869565216,0.5555555555555555,Test
21,Gradient Boosting,nv,0.728219934722571,0.8062261753494282,0.9527027027027027,0.873365450791466,Test
22,Gradient Boosting,mel,0.728219934722571,0.35172413793103446,0.22869955156950672,0.2771739130434782,Test
23,Gradient Boosting,bkl,0.728219934722571,0.4215686274509804,0.3944954128440367,0.40758293838862564,Test
24,Gradient Boosting,bcc,0.728219934722571,0.4838709677419355,0.14563106796116504,0.22388059701492538,Test
25,Gradient Boosting,akiec,0.728219934722571,0.3333333333333333,0.07692307692307693,0.125,Test
26,Gradient Boosting,vasc,0.728219934722571,0.36363636363636365,0.14285714285714285,0.2051282051282051,Test
27,Gradient Boosting,df,0.728219934722571,0.75,0.391304347826087,0.5142857142857143,Test
